customerID;gender;SeniorCitizen;Partner;Dependents;tenure;PhoneService;MultipleLines;InternetService;OnlineSecurity;OnlineBackup;DeviceProtection;TechSupport;StreamingTV;StreamingMovies;Contract;PaperlessBilling;PaymentMethod;MonthlyCharges;TotalCharges
0557-ASKVU;Female;No;Yes;Yes;18;Yes;No;DSL;No;No;Yes;Yes;No;No;One year;Yes;Credit card (automatic);54.4;957.1
5698-BQJOH;Female;No;No;No;9;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;No;Electronic check;94.4;857.25
5122-CYFXA;Female;No;No;No;3;Yes;No;DSL;No;Yes;No;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;75.3;244.1
8627-ZYGSZ;Male;No;Yes;No;47;Yes;Yes;Fiber optic;No;Yes;No;No;No;No;One year;Yes;Electronic check;78.9;3650.35
3410-YOQBQ;Female;No;No;No;31;Yes;No;DSL;No;Yes;Yes;Yes;Yes;Yes;Two year;No;Mailed check;79.2;2497.2
3170-NMYVV;Female;No;Yes;Yes;50;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic);20.15;930.9
7410-OIEDU;Male;No;No;No;10;Yes;No;Fiber optic;Yes;No;Yes;No;No;No;Month-to-month;Yes;Mailed check;79.85;887.35
2273-QCKXA;Male;No;No;No;1;Yes;No;DSL;No;No;No;Yes;No;No;Month-to-month;No;Mailed check;49.05;49.05
0731-EBJQB;Female;No;Yes;Yes;52;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Electronic check;20.4;1090.65
1891-QRQSA;Male;Yes;Yes;Yes;64;Yes;Yes;Fiber optic;Yes;No;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);111.6;7099
8028-PNXHQ;Male;No;Yes;Yes;62;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Bank transfer (automatic);24.25;1424.6
5630-AHZIL;Female;No;No;Yes;3;Yes;No;DSL;Yes;No;No;Yes;No;Yes;Month-to-month;Yes;Bank transfer (automatic);64.5;177.4
2673-CXQEU;Female;Yes;No;No;56;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;Yes;Yes;One year;No;Electronic check;110.5;6139.5
6416-JNVRK;Female;No;No;No;46;Yes;No;DSL;No;No;No;No;No;Yes;One year;No;Credit card (automatic);55.65;2688.85
5590-ZSKRV;Female;No;Yes;Yes;8;Yes;No;DSL;Yes;Yes;No;No;No;No;Month-to-month;No;Mailed check;54.65;482.25
0191-ZHSKZ;Male;Yes;No;No;30;Yes;No;DSL;Yes;Yes;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;74.75;2111.3
3887-PBQAO;Female;No;Yes;Yes;45;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Credit card (automatic);25.9;1216.6
5919-TMRGD;Female;No;No;Yes;1;Yes;No;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;79.35;79.35
8108-UXRQN;Female;No;Yes;Yes;11;No;No phone service;DSL;Yes;No;No;No;Yes;Yes;Month-to-month;No;Electronic check;50.55;565.35
9191-MYQKX;Female;No;Yes;No;7;Yes;No;Fiber optic;No;No;Yes;No;No;No;Month-to-month;Yes;Bank transfer (automatic);75.15;496.9
9919-YLNNG;Female;No;No;No;42;Yes;No;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);103.8;4327.5
0318-ZOPWS;Female;No;Yes;No;49;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Bank transfer (automatic);20.15;973.35
4445-ZJNMU;Male;No;No;No;9;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic);99.3;918.75
4808-YNLEU;Female;No;Yes;No;35;Yes;No;DSL;Yes;No;No;No;Yes;No;One year;Yes;Bank transfer (automatic);62.15;2215.45
1862-QRWPE;Female;No;Yes;Yes;48;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic);20.65;1057
2796-NNUFI;Female;No;Yes;Yes;46;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Mailed check;19.95;927.1
3016-KSVCP;Male;No;Yes;No;29;No;No phone service;DSL;No;No;No;No;Yes;No;Month-to-month;No;Mailed check;33.75;1009.25
4767-HZZHQ;Male;No;Yes;Yes;30;Yes;No;Fiber optic;No;Yes;Yes;No;No;No;Month-to-month;No;Bank transfer (automatic);82.05;2570.2
2424-WVHPL;Male;Yes;No;No;1;Yes;No;Fiber optic;No;No;No;Yes;No;No;Month-to-month;No;Electronic check;74.7;74.7
7233-PAHHL;Male;No;Yes;Yes;66;Yes;Yes;DSL;Yes;No;Yes;Yes;Yes;Yes;Two year;Yes;Mailed check;84;5714.25
6067-NGCEU;Female;No;No;No;65;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic);111.05;7107
9848-JQJTX;Male;No;No;No;72;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Two year;Yes;Bank transfer (automatic);100.9;7459.05
8637-XJIVR;Female;No;No;No;12;Yes;Yes;Fiber optic;Yes;No;No;No;No;No;Month-to-month;Yes;Electronic check;78.95;927.35
9803-FTJCG;Male;No;Yes;Yes;71;Yes;Yes;DSL;Yes;Yes;No;Yes;No;No;One year;Yes;Credit card (automatic);66.85;4748.7
0278-YXOOG;Male;No;No;No;5;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;21.05;113.85
3212-KXOCR;Male;No;No;No;52;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic);21;1107.2
4598-XLKNJ;Female;Yes;Yes;No;25;Yes;No;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;98.5;2514.5
6380-ARCEH;Male;No;No;No;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;20.2;20.2
3679-XASPY;Female;No;Yes;Yes;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Electronic check;19.45;19.45
7123-WQUHX;Male;No;No;No;38;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;No;One year;No;Bank transfer (automatic);95;3605.6
5386-THSLQ;Female;Yes;Yes;No;66;No;No phone service;DSL;No;Yes;Yes;No;Yes;No;One year;No;Bank transfer (automatic);45.55;3027.25
3192-NQECA;Male;No;Yes;No;68;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);110;7611.85
6180-YBIQI;Male;No;No;No;5;No;No phone service;DSL;No;No;No;No;No;No;Month-to-month;No;Mailed check;24.3;100.2
6728-DKUCO;Female;No;Yes;Yes;72;Yes;Yes;Fiber optic;Yes;Yes;No;No;Yes;Yes;One year;Yes;Electronic check;104.15;7303.05
9750-BOOHV;Female;No;No;No;32;No;No phone service;DSL;Yes;No;No;No;No;No;One year;No;Mailed check;30.15;927.65
8597-CWYHH;Male;No;No;No;43;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;One year;No;Mailed check;94.35;3921.3
2848-YXSMW;Male;No;Yes;Yes;72;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);19.4;1363.25
0486-HECZI;Male;No;Yes;No;55;Yes;Yes;Fiber optic;Yes;Yes;No;No;Yes;No;Month-to-month;Yes;Electronic check;96.75;5238.9
4549-ZDQYY;Female;No;No;No;52;Yes;No;DSL;Yes;No;Yes;Yes;No;No;One year;No;Credit card (automatic);57.95;3042.25
5712-AHQNN;Female;No;No;No;43;Yes;No;Fiber optic;No;Yes;Yes;No;Yes;No;Month-to-month;Yes;Electronic check;91.65;3954.1
4846-WHAFZ;Female;Yes;Yes;No;37;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;76.5;2868.15
5256-SKJGO;Female;No;Yes;Yes;64;No;No phone service;DSL;No;Yes;No;Yes;Yes;Yes;Two year;Yes;Electronic check;54.6;3423.5
3071-VBYPO;Male;No;Yes;Yes;3;Yes;No;Fiber optic;Yes;Yes;No;No;Yes;No;Month-to-month;No;Electronic check;89.85;248.4
9560-BBZXK;Female;No;No;No;36;No;No phone service;DSL;Yes;No;No;No;No;No;Two year;No;Bank transfer (automatic);31.05;1126.35
5299-RULOA;Female;No;Yes;Yes;10;Yes;Yes;Fiber optic;Yes;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;100.25;1064.65
8402-OOOHJ;Female;No;No;No;41;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;20.65;835.15
9445-ZUEQE;Male;No;Yes;Yes;27;Yes;Yes;Fiber optic;No;Yes;No;Yes;No;No;Month-to-month;Yes;Credit card (automatic);85.2;2151.6
1091-SOZGA;Female;No;Yes;Yes;56;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;One year;Yes;Credit card (automatic);99.8;5515.45
2928-HLDBA;Female;No;No;No;6;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;20.7;112.75
0404-SWRVG;Male;No;No;No;3;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;74.4;229.55
6497-TILVL;Female;No;Yes;Yes;7;Yes;No;DSL;Yes;No;No;No;No;No;Month-to-month;No;Mailed check;50.7;350.35
7219-TLZHO;Female;No;Yes;Yes;4;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;20.85;62.9
4622-YNKIJ;Male;No;No;No;33;Yes;No;Fiber optic;Yes;No;No;Yes;Yes;No;Two year;Yes;Electronic check;88.95;3027.65
4412-YLTKF;Female;Yes;No;No;27;Yes;Yes;Fiber optic;No;No;Yes;No;No;No;Month-to-month;Yes;Electronic check;78.05;2135.5
6734-PSBAW;Male;No;Yes;No;72;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Bank transfer (automatic);23.55;1723.95
3930-ZGWVE;Male;No;No;No;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;19.75;19.75
2639-UGMAZ;Male;Yes;No;No;71;No;No phone service;DSL;Yes;Yes;No;No;Yes;Yes;One year;Yes;Electronic check;56.45;3985.35
2876-GZYZC;Female;No;No;No;13;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;85.95;1215.65
6207-WIOLX;Female;No;Yes;Yes;25;No;No phone service;DSL;Yes;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic);58.6;1502.65
8587-XYZSF;Male;No;No;No;67;Yes;No;DSL;No;No;No;Yes;No;No;Two year;No;Bank transfer (automatic);50.55;3260.1
3091-FYHKI;Male;No;No;No;1;No;No phone service;DSL;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;35.45;35.45
2372-HWUHI;Male;No;No;No;2;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;No;Electronic check;44.35;81.25
7799-LGRDP;Female;No;No;No;43;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Credit card (automatic);25.7;1188.2
7850-VWJUU;Female;No;No;No;23;Yes;No;Fiber optic;Yes;No;No;No;No;No;Month-to-month;Yes;Bank transfer (automatic);75;1778.5
3774-VBNXY;Female;No;Yes;Yes;64;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;20.2;1277.75
6217-KDYWC;Male;No;No;Yes;57;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Mailed check;19.6;1170.55
0390-DCFDQ;Female;Yes;Yes;No;1;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Mailed check;70.45;70.45
3146-MSEGF;Female;Yes;Yes;Yes;72;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Credit card (automatic);88.05;6425.65
4080-OGPJL;Female;No;No;No;8;Yes;Yes;DSL;Yes;No;No;Yes;No;Yes;Month-to-month;No;Electronic check;71.15;563.65
1095-WGNGG;Female;No;Yes;No;61;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;Yes;Two year;Yes;Bank transfer (automatic);101.05;5971.25
2636-SJDOU;Male;No;No;No;64;Yes;Yes;Fiber optic;Yes;Yes;No;No;No;No;One year;Yes;Credit card (automatic);84.3;5289.05
1131-QQZEB;Male;Yes;Yes;No;71;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic);23.95;1756.2
5716-EZXZN;Female;No;Yes;Yes;65;Yes;Yes;Fiber optic;Yes;Yes;No;Yes;Yes;No;Two year;Yes;Credit card (automatic);99.05;6416.7
6837-BJYDQ;Male;No;No;No;3;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Mailed check;19.6;61.35
2135-RXIHG;Male;No;No;No;1;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;45.65;45.65
6440-DKQGE;Male;No;No;Yes;30;Yes;No;DSL;No;Yes;Yes;No;Yes;No;One year;No;Credit card (automatic);64.5;1929.95
3466-BYAVD;Male;No;Yes;Yes;15;Yes;No;DSL;No;Yes;Yes;Yes;No;Yes;Month-to-month;Yes;Mailed check;69.5;1071.4
3780-YVMFA;Female;No;Yes;Yes;8;Yes;No;DSL;No;No;No;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;68.55;564.35
3874-EQOEP;Male;No;No;No;7;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;No;Mailed check;95;655.5
1679-JRFBR;Female;No;Yes;Yes;70;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;Yes;Yes;One year;Yes;Credit card (automatic);108.15;7930.55
9073-ZZIAY;Male;No;Yes;Yes;62;Yes;No;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;No;Electronic check;86.1;5215.25
3077-RSNTJ;Female;No;Yes;Yes;6;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;19.7;113.5
6551-GNYDG;Female;No;Yes;Yes;14;Yes;No;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Bank transfer (automatic);80.9;1152.8
9167-APMXZ;Female;No;No;No;22;Yes;Yes;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Bank transfer (automatic);84.15;1821.95
2749-CTKAJ;Male;No;Yes;Yes;22;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Mailed check;20.15;419.9
6371-NZYEG;Male;No;Yes;Yes;16;Yes;No;DSL;Yes;No;Yes;No;Yes;No;Two year;No;Mailed check;64.25;1024
7554-NEWDD;Male;No;No;No;10;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic);25.7;251.6
8992-VONJD;Female;No;No;Yes;13;Yes;No;DSL;Yes;Yes;No;No;No;No;Month-to-month;Yes;Electronic check;56;764.55
0867-MKZVY;Female;No;Yes;No;20;Yes;Yes;Fiber optic;Yes;No;No;No;No;No;Month-to-month;No;Electronic check;82.4;1592.35
4482-EWFMI;Female;No;No;No;2;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;69.7;135.2
4648-YPBTM;Male;No;No;No;53;Yes;Yes;DSL;No;Yes;Yes;Yes;No;Yes;Two year;Yes;Bank transfer (automatic);73.9;3958.25
2907-ILJBN;Female;No;Yes;Yes;11;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Mailed check;20.6;233.9
6345-FZOQH;Male;No;Yes;No;69;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;19.9;1363.45
3376-BMGFE;Female;No;No;No;4;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Bank transfer (automatic);70.9;273
5997-OPVFA;Male;No;Yes;No;72;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);89.05;6254.45
3445-HXXGF;Male;Yes;Yes;No;58;No;No phone service;DSL;No;Yes;Yes;No;No;Yes;Month-to-month;Yes;Electronic check;45.3;2651.2
1159-WFSGR;Female;No;Yes;Yes;16;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Electronic check;20.4;321.4
7654-YWJUF;Male;No;Yes;No;43;Yes;No;Fiber optic;Yes;No;Yes;Yes;No;No;One year;Yes;Bank transfer (automatic);84.25;3539.25
1875-QIVME;Female;No;Yes;No;2;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;104.4;242.8
6727-IOTLZ;Male;No;Yes;No;14;Yes;No;DSL;No;Yes;Yes;Yes;Yes;Yes;Two year;No;Mailed check;81.95;1181.75
0691-JVSYA;Female;No;Yes;No;53;Yes;No;Fiber optic;No;No;Yes;No;Yes;Yes;One year;Yes;Bank transfer (automatic);94.85;5000.2
